[Rank 0 | Thread 3] [Time 0.017757] [INITIALIZATION] Initial bounds: lb = 3, ub = 9
                                                  [Rank 0 | Thread 3] [Time 32.1889] [BRANCH] Processing node: lb = 3, ub = 8
                                                  [Rank 0 | Thread 3] [Time 33.3651] [BRANCH] Branching on vertices: u = 10, v = 85
                                                  [Rank 0 | Thread 3] [Time 33.3723] [UPDATE] Updated best_ub: 7
                                                    [Rank 0 | Thread 3] [Time 33.3724] [BRANCH] Processing node: lb = 5, ub = 9
                                                    [Rank 0 | Thread 3] [Time 34.5344] [BRANCH] Branching on vertices: u = 10, v = 175
                                                    [Rank 0 | Thread 3] [Time 34.5434] [UPDATE] Updated best_ub: 7
                                                      [Rank 0 | Thread 3] [Time 34.5436] [BRANCH] Processing node: lb = 5, ub = 9
                                                      [Rank 0 | Thread 3] [Time 35.6598] [BRANCH] Branching on vertices: u = 10, v = 90
                                                      [Rank 0 | Thread 3] [Time 35.6658] [UPDATE] Updated best_ub: 7
                                                        [Rank 0 | Thread 3] [Time 35.6658] [BRANCH] Processing node: lb = 4, ub = 9
[Rank 0 | Thread 1] [Time 36.1557] [UPDATE] Gathered best_ub 7
                                                        [Rank 0 | Thread 3] [Time 36.751] [BRANCH] Branching on vertices: u = 10, v = 270
                                                        [Rank 0 | Thread 3] [Time 36.7584] [UPDATE] Updated best_ub: 7
                                                          [Rank 0 | Thread 3] [Time 36.7586] [BRANCH] Processing node: lb = 4, ub = 10
                                                          [Rank 0 | Thread 3] [Time 37.9819] [BRANCH] Branching on vertices: u = 10, v = 450
                                                          [Rank 0 | Thread 3] [Time 37.9896] [UPDATE] Updated best_ub: 7
                                                            [Rank 0 | Thread 3] [Time 37.9897] [BRANCH] Processing node: lb = 5, ub = 8
                                                            [Rank 0 | Thread 3] [Time 39.1164] [BRANCH] Branching on vertices: u = 10, v = 355
                                                            [Rank 0 | Thread 3] [Time 39.1266] [UPDATE] Updated best_ub: 7
                                                              [Rank 0 | Thread 3] [Time 39.1269] [BRANCH] Processing node: lb = 5, ub = 8
                                                              [Rank 0 | Thread 3] [Time 40.2139] [BRANCH] Branching on vertices: u = 10, v = 360
                                                              [Rank 0 | Thread 3] [Time 40.2198] [UPDATE] Updated best_ub: 7
                                                                [Rank 0 | Thread 3] [Time 40.2199] [BRANCH] Processing node: lb = 4, ub = 9
                                                                [Rank 0 | Thread 3] [Time 41.266] [BRANCH] Branching on vertices: u = 10, v = 440
                                                                [Rank 0 | Thread 3] [Time 41.2745] [UPDATE] Updated best_ub: 7
                                                                  [Rank 0 | Thread 3] [Time 41.2746] [BRANCH] Processing node: lb = 5, ub = 8
[Rank 0 | Thread 1] [Time 42.1625] [UPDATE] Gathered best_ub 7
                                                                  [Rank 0 | Thread 3] [Time 42.4138] [BRANCH] Branching on vertices: u = 10, v = 140
                                                                  [Rank 0 | Thread 3] [Time 42.4194] [UPDATE] Updated best_ub: 7
                                                                    [Rank 0 | Thread 3] [Time 42.4195] [BRANCH] Processing node: lb = 4, ub = 8
                                                                    [Rank 0 | Thread 3] [Time 43.526] [BRANCH] Branching on vertices: u = 10, v = 384
                                                                    [Rank 0 | Thread 3] [Time 43.5339] [UPDATE] Updated best_ub: 7
                                                                      [Rank 0 | Thread 3] [Time 43.5341] [BRANCH] Processing node: lb = 3, ub = 8
                                                                      [Rank 0 | Thread 3] [Time 44.6234] [BRANCH] Branching on vertices: u = 10, v = 274
                                                                      [Rank 0 | Thread 3] [Time 44.6305] [UPDATE] Updated best_ub: 7
                                                                        [Rank 0 | Thread 3] [Time 44.6306] [BRANCH] Processing node: lb = 5, ub = 8
                                                                        [Rank 0 | Thread 3] [Time 45.6352] [BRANCH] Branching on vertices: u = 10, v = 159
                                                                        [Rank 0 | Thread 3] [Time 45.6412] [UPDATE] Updated best_ub: 7
                                                                          [Rank 0 | Thread 3] [Time 45.6413] [BRANCH] Processing node: lb = 4, ub = 9
                                                                          [Rank 0 | Thread 3] [Time 46.6279] [BRANCH] Branching on vertices: u = 10, v = 410
                                                                          [Rank 0 | Thread 3] [Time 46.6334] [UPDATE] Updated best_ub: 7
                                                                            [Rank 0 | Thread 3] [Time 46.6335] [BRANCH] Processing node: lb = 3, ub = 8
                                                                            [Rank 0 | Thread 3] [Time 47.6115] [BRANCH] Branching on vertices: u = 10, v = 180
                                                                            [Rank 0 | Thread 3] [Time 47.6172] [UPDATE] Updated best_ub: 7
                                                                              [Rank 0 | Thread 3] [Time 47.6173] [BRANCH] Processing node: lb = 5, ub = 10
[Rank 0 | Thread 1] [Time 48.1708] [UPDATE] Gathered best_ub 7
                                                                              [Rank 0 | Thread 3] [Time 48.6276] [BRANCH] Branching on vertices: u = 10, v = 295
                                                                              [Rank 0 | Thread 3] [Time 48.6341] [UPDATE] Updated best_ub: 7
                                                                                [Rank 0 | Thread 3] [Time 48.6342] [BRANCH] Processing node: lb = 5, ub = 10
                                                                                [Rank 0 | Thread 3] [Time 49.6837] [BRANCH] Branching on vertices: u = 10, v = 49
                                                                                [Rank 0 | Thread 3] [Time 49.691] [UPDATE] Updated best_ub: 7
                                                                                  [Rank 0 | Thread 3] [Time 49.6911] [BRANCH] Processing node: lb = 5, ub = 9
                                                                                  [Rank 0 | Thread 3] [Time 50.8148] [BRANCH] Branching on vertices: u = 10, v = 245
                                                                                  [Rank 0 | Thread 3] [Time 50.8239] [UPDATE] Updated best_ub: 7
                                                                                    [Rank 0 | Thread 3] [Time 50.8241] [BRANCH] Processing node: lb = 4, ub = 8
                                                                                    [Rank 0 | Thread 3] [Time 51.8834] [BRANCH] Branching on vertices: u = 10, v = 335
                                                                                    [Rank 0 | Thread 3] [Time 51.8919] [UPDATE] Updated best_ub: 7
                                                                                      [Rank 0 | Thread 3] [Time 51.892] [BRANCH] Processing node: lb = 4, ub = 8
                                                                                      [Rank 0 | Thread 3] [Time 52.8623] [BRANCH] Branching on vertices: u = 10, v = 65
                                                                                      [Rank 0 | Thread 3] [Time 52.8699] [UPDATE] Updated best_ub: 7
                                                                                        [Rank 0 | Thread 3] [Time 52.87] [BRANCH] Processing node: lb = 4, ub = 8
                                                                                        [Rank 0 | Thread 3] [Time 53.9074] [BRANCH] Branching on vertices: u = 10, v = 310
                                                                                        [Rank 0 | Thread 3] [Time 53.9155] [UPDATE] Updated best_ub: 7
                                                                                          [Rank 0 | Thread 3] [Time 53.9156] [BRANCH] Processing node: lb = 5, ub = 8
[Rank 0 | Thread 1] [Time 54.1779] [UPDATE] Gathered best_ub 7
                                                                                          [Rank 0 | Thread 3] [Time 54.8776] [BRANCH] Branching on vertices: u = 10, v = 265
                                                                                          [Rank 0 | Thread 3] [Time 54.8856] [UPDATE] Updated best_ub: 7
                                                                                            [Rank 0 | Thread 3] [Time 54.8857] [BRANCH] Processing node: lb = 5, ub = 8
                                                                                            [Rank 0 | Thread 3] [Time 55.8843] [BRANCH] Branching on vertices: u = 10, v = 290
                                                                                            [Rank 0 | Thread 3] [Time 55.8905] [UPDATE] Updated best_ub: 7
                                                                                              [Rank 0 | Thread 3] [Time 55.8906] [BRANCH] Processing node: lb = 5, ub = 8
                                                                                              [Rank 0 | Thread 3] [Time 56.8219] [BRANCH] Branching on vertices: u = 10, v = 390
                                                                                              [Rank 0 | Thread 3] [Time 56.8297] [UPDATE] Updated best_ub: 7
                                                                                                [Rank 0 | Thread 3] [Time 56.8299] [BRANCH] Processing node: lb = 5, ub = 8
                                                                                                [Rank 0 | Thread 3] [Time 57.789] [BRANCH] Branching on vertices: u = 10, v = 35
                                                                                                [Rank 0 | Thread 3] [Time 57.7949] [UPDATE] Updated best_ub: 7
                                                                                                  [Rank 0 | Thread 3] [Time 57.795] [BRANCH] Processing node: lb = 4, ub = 9
                                                                                                  [Rank 0 | Thread 3] [Time 58.7887] [BRANCH] Branching on vertices: u = 10, v = 150
                                                                                                  [Rank 0 | Thread 3] [Time 58.798] [UPDATE] Updated best_ub: 7
                                                                                                    [Rank 0 | Thread 3] [Time 58.7981] [BRANCH] Processing node: lb = 4, ub = 8
[Rank 0 | Thread 0] [Time 59.0043] [TERMINATION]: Timeout reached.
                                                                                                    [Rank 0 | Thread 3] [Time 59.7027] [BRANCH] Branching on vertices: u = 10, v = 170
                                                                                                    [Rank 0 | Thread 3] [Time 59.7109] [UPDATE] Updated best_ub: 7
[Rank 0 | Thread 0] [Time 59.7111] [TERMINATION] Finalizing... 
